timeNum,42850.64434,42850.64502,42850.64572,42850.64641,42850.64712,42850.64781,42850.64851,42850.6492,42850.6499,42850.65059,42850.65128,42850.65198,42850.65267,42850.65338,42850.65407,42850.65477,42850.65546,42850.65616,42850.65685,42850.65755,42850.65824,42850.65895,42850.65964,42850.66034,42850.66103,42850.66172,42850.66242,42850.66311,42850.66381,42850.6645,42850.66521,42850.6659,42850.6666,42850.66729,42850.66799,42850.66868,42850.66938,42850.67007,42850.67078,42850.67147,42850.67216,42850.67286,42850.67355,42850.67425,42850.67494,42850.67564,42850.67633,42850.67704,42850.67773,42850.67843,42850.67912,42850.67981,42850.68051,42850.6812,42850.6819,42850.68259,42850.68329,42850.68399,42850.68469,42850.68538,42850.68608,42850.68677,42850.68747,42850.68816,42850.68885,42850.68955,42850.69025,42850.69095,42850.69164,42850.69235,42850.69303,42850.69373,42850.69442,42850.69512,42850.69581,42850.6965,42850.69721,42850.69792,42850.6986,42850.69929,42850.69999,42850.70068,42850.70138,42850.70207,42850.70277,42850.70346,42850.70417,42850.70486,42850.70556,42850.70625,42850.70694,42850.70764,42850.70833,42850.70903,42850.70972,42850.71043,42850.71112,42850.71182,42850.71251,42850.71321,42850.7139,42850.71459,42850.71529,42850.71598,42850.71668,42850.71738,42850.71808,42850.71877,42850.71947,42850.72016,42850.72086,42850.72155,42850.72225,42850.72294,42850.72365,42850.72434,42850.72503,42850.72573,42850.72642,42850.72712,42850.72781,42850.72851,42850.7292,42850.72991,42850.7306,42850.7313,42850.73199,42850.73269,42850.73338,42850.73407,42850.73477,42850.73546,42850.73616,42850.73686,42850.73758,42850.73825,42850.73895,42850.73964,42850.74034,42850.74103,42850.74172,42850.74242,42850.74311,42850.74381,42850.7445,42850.7452,42850.74589,42850.74659,42850.74729,42850.74799,42850.74868,42850.74939,42850.75008,42850.75078,42850.75147,42850.75218,42850.75286,42850.75358,42850.75425,42850.75495,42850.75565,42850.75633,42850.75704,42850.75773,42850.75841,42850.75912,42850.75981,42850.7605,42850.76119,42850.7619,42850.76259,42850.7633,42850.76399,42850.76469,42850.76538,42850.76608
Time,3:27 PM,3:28 PM,3:29 PM,3:30 PM,3:31 PM,3:32 PM,3:33 PM,3:34 PM,3:35 PM,3:36 PM,3:37 PM,3:38 PM,3:39 PM,3:40 PM,3:41 PM,3:42 PM,3:43 PM,3:44 PM,3:45 PM,3:46 PM,3:47 PM,3:48 PM,3:49 PM,3:50 PM,3:51 PM,3:52 PM,3:53 PM,3:54 PM,3:55 PM,3:56 PM,3:57 PM,3:58 PM,3:59 PM,4:00 PM,4:01 PM,4:02 PM,4:03 PM,4:04 PM,4:05 PM,4:06 PM,4:07 PM,4:08 PM,4:09 PM,4:10 PM,4:11 PM,4:12 PM,4:13 PM,4:14 PM,4:15 PM,4:16 PM,4:17 PM,4:18 PM,4:19 PM,4:20 PM,4:21 PM,4:22 PM,4:23 PM,4:24 PM,4:25 PM,4:26 PM,4:27 PM,4:28 PM,4:29 PM,4:30 PM,4:31 PM,4:32 PM,4:33 PM,4:34 PM,4:35 PM,4:36 PM,4:37 PM,4:38 PM,4:39 PM,4:40 PM,4:41 PM,4:42 PM,4:43 PM,4:45 PM,4:45 PM,4:46 PM,4:47 PM,4:48 PM,4:49 PM,4:50 PM,4:51 PM,4:52 PM,4:54 PM,4:55 PM,4:56 PM,4:57 PM,4:58 PM,4:59 PM,5:00 PM,5:01 PM,5:02 PM,5:03 PM,5:04 PM,5:05 PM,5:06 PM,5:07 PM,5:08 PM,5:09 PM,5:10 PM,5:11 PM,5:12 PM,5:13 PM,5:14 PM,5:15 PM,5:16 PM,5:17 PM,5:18 PM,5:19 PM,5:20 PM,5:21 PM,5:22 PM,5:23 PM,5:24 PM,5:25 PM,5:26 PM,5:27 PM,5:28 PM,5:29 PM,5:30 PM,5:31 PM,5:32 PM,5:33 PM,5:34 PM,5:35 PM,5:36 PM,5:37 PM,5:38 PM,5:39 PM,5:40 PM,5:41 PM,5:42 PM,5:43 PM,5:44 PM,5:45 PM,5:46 PM,5:47 PM,5:48 PM,5:49 PM,5:50 PM,5:51 PM,5:52 PM,5:53 PM,5:54 PM,5:55 PM,5:56 PM,5:57 PM,5:58 PM,5:59 PM,6:00 PM,6:01 PM,6:02 PM,6:03 PM,6:04 PM,6:05 PM,6:06 PM,6:07 PM,6:08 PM,6:09 PM,6:10 PM,6:11 PM,6:12 PM,6:13 PM,6:14 PM,6:15 PM,6:16 PM,6:17 PM,6:18 PM,6:19 PM,6:20 PM,6:21 PM,6:22 PM,6:23 PM
Elapsed (min),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175
Altitude (m),173,353,541,736,903,1075,1285,1559,1750,1980,2205,2381,2545,2770,2975,3181,3400,3608,3805,4004,4204,4402,4613,4810,4999,5194,5412,5628,5815,6018,6237,6455,6657,6906,7170,7447,7720,7999,8277,8547,8829,9096,9369,9624,9895,10164,10453,10729,11012,11287,11574,11891,12187,12437,12663,12869,13078,13310,13563,13830,14098,14320,14535,14763,14992,15219,15457,15681,15934,16225,16479,16716,16952,17180,17423,17665,17903,18151,18415,18687,18944,19190,19425,19680,19939,20207,20462,20716,20974,21235,21502,21777,22040,22294,22551,22823,23115,23410,23706,23980,24251,24520,24806,25084,25347,25621,25927,26240,26535,26840,27159,27483,27791,28084,28395,28727,29061,29357,29642,29962,30299,30611,30893,31197,31536,31877,32174,32427,32699,33003,33304,33585,33862,34154,33404,30320,27925,25530,23708,22632,21556,20480,19404,18328,17252,16176,15100,14024,12948,12261,11574,10952,10331,9756,9182,8608,8115,7622,7160,6703,6236,5773,5315,4880,4473,4066,3652,3255,2858,2461,2106,1765,1533,1247,923,606
Altitude (ft),569,1159,1775,2414,2961,3528,4215,5116,5743,6496,7234,7813,8349,9087,9759,10435,11156,11838,12485,13138,13794,14441,15135,15781,16402,17042,17755,18463,19077,19743,20461,21178,21842,22658,23525,24432,25329,26245,27154,28042,28966,29844,30737,31575,32465,33346,34293,35199,36127,37032,37972,39014,39984,40803,41544,42220,42908,43667,44499,45373,46253,46980,47686,48436,49186,49931,50713,51448,52277,53231,54065,54844,55618,56365,57162,57956,58736,59551,60417,61310,62153,62958,63729,64567,65417,66295,67134,67965,68813,69669,70543,71446,72311,73144,73985,74880,75837,76803,77776,78673,79562,80445,81383,82296,83158,84057,85062,86090,87058,88057,89103,90168,91179,92140,93160,94249,95344,96314,97252,98300,99407,100430,101354,102351,103464,104583,105559,106388,107279,108277,109265,110186,111095,112054,109592,99474,91617,83759,77782,74252,70721,67191,63661,60130,56600,53070,49540,46009,42479,40225,37971,35932,33893,32009,30124,28240,26623,25006,23491,21991,20460,18939,17439,16011,14675,13340,11980,10678,9377,8075,6909,5790,5028,4090,3029,1987
Latitude (deg),47.429,47.42983,47.4315,47.43317,47.4345,47.43633,47.439,47.44217,47.44683,47.45083,47.454,47.45917,47.4635,47.46733,47.47233,47.478,47.48167,47.48417,47.48733,47.48883,47.4905,47.49083,47.49183,47.4905,47.4885,47.48767,47.48717,47.48867,47.491,47.49133,47.492,47.4935,47.49483,47.49533,47.49683,47.49867,47.50083,47.50217,47.50133,47.498,47.49267,47.486,47.479,47.47017,47.463,47.454,47.4465,47.43833,47.43083,47.42383,47.417,47.40867,47.4005,47.39267,47.38417,47.3765,47.3695,47.36317,47.35717,47.3505,47.3445,47.33917,47.33367,47.32725,47.32083,47.315,47.30967,47.30483,47.301,47.29717,47.29283,47.28883,47.28467,47.27933,47.27333,47.26817,47.2635,47.25917,47.25567,47.25183,47.24767,47.24467,47.2415,47.23967,47.237,47.23367,47.231,47.22883,47.22633,47.222,47.21717,47.21367,47.21217,47.21033,47.2085,47.20617,47.204,47.2015,47.19917,47.19833,47.19833,47.197,47.19433,47.19183,47.18983,47.18783,47.18433,47.1815,47.1775,47.17667,47.17633,47.1755,47.17533,47.17383,47.17183,47.1675,47.16433,47.162,47.15917,47.15617,47.1535,47.15117,47.15,47.14867,47.145,47.14,47.13367,47.12817,47.12283,47.11817,47.114,47.1105,47.10883,47.1075,47.106,47.10167,47.09925,47.09683,47.09517,47.0904,47.08564,47.08087,47.0761,47.07134,47.06657,47.0618,47.05703,47.05227,47.0475,47.03784,47.02817,47.01792,47.00767,46.99717,46.98667,46.97617,46.97059,46.965,46.96383,46.96383,46.96333,46.96233,46.961,46.95917,46.95767,46.95617,46.95433,46.9555,46.95666,46.95783,46.95967,46.96183,46.96367,46.96583,46.96683,46.96767
Distance north/south (mi),0,0.057,0.173,0.288,0.380,0.506,0.691,0.910,1.232,1.508,1.727,2.084,2.383,2.648,2.993,3.385,3.638,3.811,4.030,4.133,4.248,4.271,4.340,4.248,4.110,4.053,4.018,4.122,4.283,4.306,4.352,4.456,4.548,4.582,4.686,4.813,4.962,5.055,4.997,4.766,4.398,3.938,3.454,2.844,2.349,1.727,1.209,0.645,0.126,-0.357,-0.829,-1.404,-1.969,-2.510,-3.097,-3.627,-4.110,-4.548,-4.962,-5.423,-5.837,-6.205,-6.585,-7.029,-7.473,-7.875,-8.243,-8.578,-8.842,-9.107,-9.407,-9.683,-9.970,-10.339,-10.754,-11.110,-11.433,-11.732,-11.974,-12.239,-12.526,-12.734,-12.953,-13.079,-13.263,-13.494,-13.678,-13.828,-14.001,-14.300,-14.633,-14.875,-14.979,-15.106,-15.232,-15.393,-15.543,-15.716,-15.877,-15.935,-15.935,-16.027,-16.211,-16.384,-16.522,-16.660,-16.902,-17.098,-17.374,-17.431,-17.455,-17.512,-17.524,-17.627,-17.766,-18.065,-18.284,-18.445,-18.640,-18.847,-19.032,-19.193,-19.273,-19.365,-19.619,-19.964,-20.402,-20.781,-21.150,-21.472,-21.760,-22.002,-22.118,-22.209,-22.313,-22.612,-22.779,-22.947,-23.061,-23.391,-23.720,-24.049,-24.378,-24.708,-25.037,-25.366,-25.696,-26.025,-26.354,-27.022,-27.690,-28.398,-29.106,-29.831,-30.556,-31.282,-31.668,-32.053,-32.134,-32.134,-32.169,-32.238,-32.330,-32.456,-32.560,-32.663,-32.791,-32.710,-32.629,-32.549,-32.422,-32.272,-32.145,-31.996,-31.927,-31.869
Longitude (deg),-122.19633,-122.19217,-122.1875,-122.18333,-122.18083,-122.1805,-122.18117,-122.18117,-122.18233,-122.183,-122.18217,-122.18267,-122.18333,-122.184,-122.17767,-122.1675,-122.15517,-122.14517,-122.13433,-122.12333,-122.114,-122.103,-122.09167,-122.081,-122.07,-122.05767,-122.04483,-122.03483,-122.0245,-122.01483,-122.00533,-121.9945,-121.98567,-121.97483,-121.96317,-121.95233,-121.94117,-121.92883,-121.91367,-121.89583,-121.87317,-121.84883,-121.82183,-121.7935,-121.76317,-121.73167,-121.69983,-121.66917,-121.63783,-121.60883,-121.58,-121.55117,-121.526,-121.503,-121.48117,-121.46117,-121.44233,-121.42333,-121.405,-121.3875,-121.37233,-121.3565,-121.338,-121.32242,-121.30683,-121.2935,-121.28033,-121.26817,-121.25533,-121.24017,-121.22567,-121.2135,-121.20033,-121.18783,-121.1775,-121.16917,-121.15983,-121.152,-121.1435,-121.135,-121.12633,-121.119,-121.11183,-121.10367,-121.096,-121.088,-121.081,-121.07417,-121.06667,-121.05867,-121.0535,-121.04817,-121.04067,-121.03467,-121.03067,-121.02583,-121.021,-121.016,-121.01433,-121.01367,-121.00967,-121.005,-121.0015,-121.00083,-120.9975,-120.99617,-120.9975,-120.99883,-121.00117,-121.00383,-121.00683,-121.00917,-121.01017,-121.01133,-121.01083,-121.0105,-121.01183,-121.01167,-121.011,-121.012,-121.01417,-121.01433,-121.0165,-121.01817,-121.017,-121.015,-121.018,-121.02133,-121.02617,-121.029,-121.03383,-121.03767,-121.04233,-121.04383,-121.04633,-121.049,-121.05034,-121.05167,-121.0485,-121.03747,-121.02643,-121.0154,-121.00437,-120.99334,-120.9823,-120.97127,-120.96024,-120.9492,-120.93817,-120.91175,-120.88533,-120.85108,-120.81683,-120.78378,-120.75072,-120.71767,-120.69609,-120.6745,-120.657,-120.64283,-120.627,-120.61283,-120.5995,-120.58883,-120.57867,-120.5685,-120.55817,-120.54961,-120.54106,-120.5325,-120.53017,-120.52833,-120.52683,-120.52567,-120.52433,-120.52383
Distance east/west (mi),0,0.196,0.416,0.612,0.730,0.745,0.714,0.714,0.659,0.628,0.667,0.643,0.612,0.580,0.879,1.357,1.938,2.409,2.919,3.437,3.876,4.394,4.928,5.430,5.948,6.528,7.133,7.604,8.090,8.545,8.993,9.503,9.918,10.429,10.978,11.488,12.013,12.595,13.308,14.148,15.215,16.361,17.632,18.966,20.394,21.877,23.376,24.820,26.295,27.661,29.018,30.376,31.561,32.644,33.671,34.613,35.500,36.395,37.258,38.082,38.796,39.541,40.412,41.146,41.880,42.507,43.127,43.700,44.304,45.018,45.701,46.274,46.894,47.482,47.969,48.361,48.801,49.169,49.570,49.970,50.378,50.723,51.061,51.445,51.806,52.183,52.512,52.834,53.187,53.564,53.807,54.058,54.411,54.694,54.882,55.110,55.337,55.573,55.651,55.682,55.871,56.091,56.255,56.287,56.444,56.506,56.444,56.381,56.271,56.146,56.004,55.894,55.847,55.792,55.816,55.832,55.769,55.777,55.808,55.761,55.659,55.651,55.549,55.470,55.526,55.620,55.478,55.322,55.094,54.961,54.733,54.552,54.333,54.262,54.145,54.019,53.956,53.893,54.042,54.562,55.081,55.601,56.120,56.640,57.159,57.679,58.198,58.718,59.237,60.481,61.725,63.337,64.950,66.506,68.063,69.619,70.635,71.651,72.475,73.142,73.888,74.555,75.182,75.685,76.163,76.642,77.128,77.531,77.934,78.337,78.447,78.533,78.604,78.659,78.722,78.745
Total ground distance (mi),0,0.204,0.450,0.677,0.823,0.901,0.993,1.156,1.397,1.633,1.851,2.181,2.461,2.711,3.120,3.647,4.122,4.509,4.976,5.375,5.751,6.128,6.567,6.895,7.230,7.684,8.187,8.649,9.154,9.569,9.991,10.495,10.911,11.391,11.936,12.455,12.998,13.571,14.215,14.930,15.838,16.828,17.967,19.178,20.529,21.945,23.408,24.828,26.296,27.663,29.030,30.408,31.622,32.740,33.813,34.802,35.737,36.678,37.587,38.466,39.232,40.025,40.945,41.742,42.541,43.231,43.908,44.534,45.178,45.930,46.659,47.276,47.942,48.595,49.159,49.621,50.122,50.550,50.995,51.447,51.912,52.297,52.678,53.081,53.477,53.899,54.264,54.613,54.999,55.440,55.761,56.067,56.435,56.741,56.956,57.219,57.479,57.752,57.872,57.917,58.099,58.335,58.545,58.623,58.812,58.911,58.920,58.916,58.892,58.789,58.661,58.573,58.532,58.511,58.575,58.681,58.690,58.747,58.839,58.860,58.823,58.868,58.798,58.754,58.890,59.094,59.111,59.096,59.014,59.006,58.900,58.822,58.662,58.631,58.562,58.561,58.567,58.575,58.757,59.364,59.972,60.579,61.187,61.794,62.402,63.010,63.618,64.227,64.835,66.243,67.651,69.412,71.173,72.890,74.607,76.324,77.409,78.494,79.280,79.890,80.587,81.226,81.839,82.350,82.831,83.312,83.809,84.149,84.489,84.830,84.882,84.906,84.923,84.917,84.949,84.949
Ground speed (km/hr),9,24,30,22,15,26,20,15,33,31,24,35,20,35,52,61,57,52,59,48,39,52,48,54,54,56,59,44,52,39,41,41,43,54,44,52,59,59,78,81,109,130,150,146,152,152,152,159,150,130,141,130,111,115,115,98,102,102,83,83,76,87,91,81,70,65,67,59,67,115,57,61,70,63,57,61,46,46,52,46,52,33,33,50,35,37,35,39,50,44,31,37,35,30,26,20,26,17,24,7,13,31,20,19,13,20,37,22,20,19,19,13,7,17,26,30,15,22,26,24,15,13,19,20,48,41,44,43,28,39,35,46,6,19,26,20,17,13,6,17,28,39,50,62,73,84,95,106,117,145,172,177,181,163,146,128,111,93,72,74,72,57,57,43,48,52,46,38,30,22,17,7,19,24,13,11
Ground speed (miles/hr),6,15,19,14,9,16,12,9,21,19,15,22,12,22,32,38,35,32,37,30,24,32,30,34,34,35,37,27,32,24,25,25,27,34,27,32,37,37,48,50,68,81,93,91,94,94,94,99,93,81,88,81,69,71,71,61,63,63,52,52,47,54,57,50,43,40,42,37,42,71,35,38,43,39,35,38,29,29,32,29,32,21,21,31,22,23,22,24,31,27,19,23,22,19,16,12,16,11,15,4,8,19,12,12,8,12,23,14,12,12,12,8,4,11,16,19,9,14,16,15,9,8,12,12,30,25,27,27,17,24,22,29,4,12,16,12,10,8,4,11,18,24,31,38,45,52,59,66,73,90,107,110,112,101,91,80,69,58,45,46,45,35,35,27,30,32,29,24,19,14,11,4,12,15,8,7
Ground speed (ft/s),8,22,27,20,14,24,18,14,30,28,22,32,18,32,47,56,52,47,54,44,36,47,44,49,49,51,54,40,47,36,37,37,39,49,40,47,54,54,71,74,99,118,137,133,139,139,139,145,137,118,128,118,101,105,105,89,93,93,76,76,69,79,83,73,64,59,61,54,61,105,52,56,64,57,52,56,42,42,47,42,47,30,30,46,32,34,32,36,46,40,28,34,32,27,24,18,24,15,22,6,12,28,18,17,12,18,34,20,18,17,17,12,6,15,24,27,14,20,24,22,14,12,17,18,44,37,40,39,26,36,32,42,5,17,24,18,15,12,5,16,26,36,46,56,66,76,86,97,107,132,157,161,165,149,133,117,101,85,66,67,66,52,52,39,43,47,42,35,27,20,15,6,17,22,12,10
